epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
14	total scene	2.3980	0.7260	0.7390	0.7920	0.7330	0.7310	0.7450
14	scene 1	2.3710	0.5960	0.6380	0.8990	0.6020	0.6120	0.6380
14	scene 2	2.3710	0.6630	0.7210	0.7800	0.6540	0.6710	0.6990
14	scene 3	2.3710	0.6910	0.7060	0.7470	0.6950	0.7080	0.7250
14	scene 4	2.3710	0.6540	0.6980	0.6370	0.6480	0.6570	0.6570
15	total scene	2.3900	0.7290	0.7390	0.7910	0.7350	0.7340	0.7480
15	scene 1	2.3610	0.5990	0.6530	0.9090	0.6070	0.6170	0.6430
15	scene 2	2.3610	0.6670	0.7220	0.7860	0.6570	0.6750	0.7020
15	scene 3	2.3610	0.6950	0.7090	0.7310	0.6990	0.7130	0.7280
15	scene 4	2.3610	0.6580	0.6910	0.6310	0.6510	0.6620	0.6620
16	total scene	2.3810	0.7320	0.7440	0.7860	0.7390	0.7370	0.7510
16	scene 1	2.3510	0.6040	0.6420	0.9310	0.6130	0.6230	0.6500
16	scene 2	2.3510	0.6710	0.7270	0.7800	0.6620	0.6790	0.7060
16	scene 3	2.3510	0.6990	0.7230	0.7460	0.7030	0.7180	0.7320
16	scene 4	2.3510	0.6620	0.6970	0.6050	0.6570	0.6660	0.6660
17	total scene	2.3750	0.7340	0.7470	0.7960	0.7410	0.7400	0.7530
17	scene 1	2.3400	0.6090	0.6570	0.9110	0.6180	0.6260	0.6490
17	scene 2	2.3400	0.6750	0.7300	0.7900	0.6650	0.6820	0.7080
17	scene 3	2.3400	0.7010	0.7160	0.7600	0.7050	0.7190	0.7350
17	scene 4	2.3400	0.6670	0.7050	0.6350	0.6620	0.6710	0.6710
18	total scene	2.3680	0.7370	0.7510	0.7920	0.7430	0.7420	0.7550
18	scene 1	2.3310	0.6120	0.6650	0.9320	0.6230	0.6320	0.6550
18	scene 2	2.3310	0.6790	0.7340	0.7850	0.6680	0.6850	0.7110
18	scene 3	2.3310	0.7040	0.7200	0.7420	0.7080	0.7230	0.7360
18	scene 4	2.3310	0.6710	0.7140	0.6560	0.6650	0.6750	0.6750
19	total scene	2.3630	0.7390	0.7530	0.7900	0.7460	0.7440	0.7570
19	scene 1	2.3210	0.6170	0.6670	0.9530	0.6270	0.6360	0.6570
19	scene 2	2.3210	0.6810	0.7390	0.7860	0.6710	0.6880	0.7130
19	scene 3	2.3210	0.7060	0.7090	0.7390	0.7100	0.7250	0.7410
19	scene 4	2.3210	0.6740	0.7040	0.6300	0.6690	0.6780	0.6780
20	total scene	2.3550	0.7420	0.7550	0.7980	0.7480	0.7460	0.7600
