epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
14	total scene	2.3990	0.7260	0.7360	0.8090	0.7320	0.7310	0.7450
14	scene 1	2.3750	0.5800	0.6720	0.7960	0.5870	0.5950	0.6190
14	scene 2	2.3750	0.6640	0.7170	0.8030	0.6530	0.6710	0.6970
14	scene 3	2.3750	0.6920	0.7270	0.7550	0.6940	0.7080	0.7250
14	scene 4	2.3750	0.6550	0.6850	0.6630	0.6520	0.6600	0.6600
15	total scene	2.3900	0.7290	0.7380	0.8160	0.7360	0.7340	0.7480
15	scene 1	2.3630	0.5880	0.6740	0.7530	0.5950	0.6050	0.6310
15	scene 2	2.3630	0.6680	0.7190	0.8110	0.6580	0.6750	0.7010
15	scene 3	2.3630	0.6940	0.7180	0.7560	0.6970	0.7100	0.7270
15	scene 4	2.3630	0.6610	0.6890	0.7020	0.6570	0.6640	0.6640
16	total scene	2.3830	0.7320	0.7420	0.8180	0.7380	0.7370	0.7510
16	scene 1	2.3530	0.5920	0.6790	0.7640	0.6010	0.6100	0.6340
16	scene 2	2.3530	0.6720	0.7230	0.8120	0.6610	0.6790	0.7050
16	scene 3	2.3530	0.6970	0.7350	0.7740	0.7000	0.7130	0.7300
16	scene 4	2.3530	0.6650	0.6860	0.6840	0.6590	0.6680	0.6680
17	total scene	2.3750	0.7350	0.7450	0.8140	0.7410	0.7400	0.7540
17	scene 1	2.3420	0.5960	0.6870	0.8320	0.6060	0.6150	0.6390
17	scene 2	2.3420	0.6760	0.7270	0.8090	0.6650	0.6830	0.7080
17	scene 3	2.3420	0.6990	0.7290	0.7330	0.7030	0.7160	0.7350
17	scene 4	2.3420	0.6680	0.6950	0.7100	0.6630	0.6720	0.6720
18	total scene	2.3690	0.7380	0.7470	0.8090	0.7440	0.7420	0.7560
18	scene 1	2.3320	0.6010	0.6880	0.9050	0.6100	0.6190	0.6410
18	scene 2	2.3320	0.6790	0.7310	0.7990	0.6690	0.6850	0.7110
18	scene 3	2.3320	0.7030	0.7320	0.7300	0.7070	0.7190	0.7360
18	scene 4	2.3320	0.6730	0.6920	0.7170	0.6680	0.6760	0.6760
19	total scene	2.3650	0.7390	0.7500	0.8200	0.7460	0.7440	0.7570
19	scene 1	2.3230	0.6050	0.6890	0.8040	0.6120	0.6210	0.6420
19	scene 2	2.3230	0.6810	0.7340	0.8140	0.6710	0.6870	0.7130
19	scene 3	2.3230	0.7050	0.7370	0.7580	0.7090	0.7230	0.7400
19	scene 4	2.3230	0.6740	0.6930	0.7450	0.6710	0.6780	0.6780
20	total scene	2.3560	0.7420	0.7530	0.8150	0.7480	0.7470	0.7600
20	scene 1	2.3130	0.6100	0.7080	0.7340	0.6200	0.6290	0.6510
20	scene 2	2.3130	0.6860	0.7360	0.8090	0.6750	0.6910	0.7160
20	scene 3	2.3130	0.7080	0.7450	0.7460	0.7100	0.7250	0.7410
20	scene 4	2.3130	0.6790	0.6990	0.7710	0.6730	0.6810	0.6810
21	total scene	2.3500	0.7440	0.7570	0.8220	0.7500	0.7490	0.7620
21	scene 1	2.3050	0.6150	0.7040	0.8280	0.6260	0.6340	0.6570
21	scene 2	2.3050	0.6880	0.7400	0.8120	0.6780	0.6940	0.7190
21	scene 3	2.3050	0.7110	0.7470	0.7550	0.7140	0.7280	0.7450
21	scene 4	2.3050	0.6820	0.7030	0.7590	0.6770	0.6850	0.6850
22	total scene	2.3480	0.7460	0.7590	0.8240	0.7520	0.7500	0.7640
22	scene 1	2.2970	0.6170	0.7050	0.8350	0.6280	0.6370	0.6600
22	scene 2	2.2970	0.6910	0.7440	0.8150	0.6800	0.6960	0.7210
22	scene 3	2.2970	0.7120	0.7470	0.7580	0.7150	0.7290	0.7450
22	scene 4	2.2970	0.6860	0.7030	0.7950	0.6800	0.6880	0.6880
23	total scene	2.3400	0.7480	0.7610	0.8220	0.7540	0.7520	0.7650
23	scene 1	2.2890	0.6190	0.7060	0.7840	0.6290	0.6390	0.6600
23	scene 2	2.2890	0.6930	0.7460	0.8140	0.6820	0.6980	0.7230
23	scene 3	2.2890	0.7150	0.7510	0.7440	0.7180	0.7310	0.7470
23	scene 4	2.2890	0.6890	0.7070	0.7710	0.6830	0.6900	0.6900
24	total scene	2.3360	0.7490	0.7640	0.8170	0.7550	0.7530	0.7670
24	scene 1	2.2820	0.6230	0.7120	0.8330	0.6340	0.6440	0.6650
24	scene 2	2.2820	0.6950	0.7490	0.8100	0.6840	0.7000	0.7250
24	scene 3	2.2820	0.7160	0.7580	0.7310	0.7180	0.7330	0.7500
24	scene 4	2.2820	0.6910	0.7080	0.7690	0.6850	0.6920	0.6920
25	total scene	2.3300	0.7510	0.7680	0.8190	0.7570	0.7550	0.7680
25	scene 1	2.2750	0.6250	0.7170	0.8540	0.6370	0.6460	0.6660
25	scene 2	2.2750	0.6980	0.7530	0.8120	0.6870	0.7020	0.7270
25	scene 3	2.2750	0.7180	0.7590	0.7270	0.7210	0.7360	0.7520
25	scene 4	2.2750	0.6920	0.7190	0.7930	0.6870	0.6940	0.6940
26	total scene	2.3270	0.7520	0.7690	0.8190	0.7580	0.7560	0.7700
26	scene 1	2.2670	0.6280	0.7170	0.8740	0.6400	0.6480	0.6710
26	scene 2	2.2670	0.6990	0.7540	0.8140	0.6890	0.7040	0.7280
26	scene 3	2.2670	0.7190	0.7640	0.7390	0.7220	0.7370	0.7530
26	scene 4	2.2670	0.6930	0.7180	0.7570	0.6880	0.6950	0.6950
27	total scene	2.3220	0.7540	0.7720	0.8210	0.7600	0.7580	0.7710
27	scene 1	2.2610	0.6270	0.7180	0.7440	0.6390	0.6470	0.6670
27	scene 2	2.2610	0.7010	0.7580	0.8170	0.6910	0.7050	0.7300
27	scene 3	2.2610	0.7210	0.7680	0.7480	0.7250	0.7390	0.7550
27	scene 4	2.2610	0.6960	0.7200	0.7850	0.6910	0.6990	0.6990
