epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
14	total scene	2.6510	0.6350	0.5290	0.5500	0.6430	0.6340	0.6330
14	scene 1	2.6610	0.5200	0.4750	0.4880	0.5190	0.5290	0.5520
14	scene 2	2.6610	0.5700	0.4770	0.4940	0.5620	0.5740	0.5840
14	scene 3	2.6610	0.5830	0.4840	0.5670	0.5850	0.5920	0.5940
14	scene 4	2.6610	0.5570	0.5280	0.7300	0.5530	0.5560	0.5560
15	total scene	2.6500	0.6360	0.5370	0.5410	0.6430	0.6360	0.6340
15	scene 1	2.6500	0.5270	0.5260	0.3490	0.5200	0.5210	0.5400
15	scene 2	2.6500	0.5710	0.4880	0.4990	0.5630	0.5760	0.5850
15	scene 3	2.6500	0.5800	0.4830	0.4210	0.5790	0.5840	0.5850
15	scene 4	2.6500	0.5600	0.5020	0.6310	0.5560	0.5610	0.5610
16	total scene	2.6340	0.6420	0.5370	0.5680	0.6500	0.6410	0.6390
16	scene 1	2.6370	0.5160	0.4960	0.2260	0.5130	0.5150	0.5240
16	scene 2	2.6370	0.5750	0.4870	0.5260	0.5670	0.5790	0.5880
16	scene 3	2.6370	0.5810	0.4660	0.5170	0.5790	0.5850	0.5890
16	scene 4	2.6370	0.5600	0.5190	0.6670	0.5570	0.5650	0.5650
17	total scene	2.6230	0.6460	0.5290	0.5640	0.6550	0.6460	0.6450
17	scene 1	2.6270	0.5180	0.4680	0.3770	0.5170	0.5210	0.5450
17	scene 2	2.6270	0.5780	0.4860	0.5430	0.5710	0.5840	0.5940
17	scene 3	2.6270	0.5920	0.4650	0.4410	0.5940	0.6050	0.6000
17	scene 4	2.6270	0.5740	0.5050	0.4480	0.5690	0.5730	0.5730
18	total scene	2.6180	0.6490	0.5350	0.5450	0.6570	0.6490	0.6480
18	scene 1	2.6170	0.5240	0.5070	0.7180	0.5190	0.5250	0.5450
18	scene 2	2.6170	0.5810	0.4820	0.5090	0.5720	0.5860	0.5960
18	scene 3	2.6170	0.5870	0.4810	0.4160	0.5970	0.5990	0.6040
18	scene 4	2.6170	0.5610	0.5300	0.6160	0.5570	0.5620	0.5620
19	total scene	2.6050	0.6530	0.5390	0.5460	0.6610	0.6530	0.6520
19	scene 1	2.6070	0.5210	0.4800	0.2090	0.5240	0.5280	0.5520
19	scene 2	2.6070	0.5840	0.4880	0.5040	0.5750	0.5890	0.6000
19	scene 3	2.6070	0.5950	0.4680	0.4280	0.5980	0.6060	0.6130
19	scene 4	2.6070	0.5650	0.4870	0.5890	0.5630	0.5700	0.5700
20	total scene	2.5970	0.6570	0.5450	0.5650	0.6640	0.6560	0.6560
20	scene 1	2.5980	0.5250	0.4790	0.6640	0.5170	0.5290	0.5520
20	scene 2	2.5980	0.5880	0.4950	0.5270	0.5790	0.5940	0.6050
20	scene 3	2.5980	0.5960	0.4680	0.4420	0.5920	0.6020	0.6030
20	scene 4	2.5980	0.5710	0.4860	0.6100	0.5680	0.5750	0.5750
21	total scene	2.5980	0.6570	0.5420	0.5840	0.6620	0.6570	0.6580
21	scene 1	2.5890	0.5260	0.4920	0.6240	0.5200	0.5300	0.5570
21	scene 2	2.5890	0.5880	0.4920	0.5290	0.5770	0.5930	0.6060
21	scene 3	2.5890	0.6030	0.5310	0.5450	0.5950	0.6080	0.6110
21	scene 4	2.5890	0.5710	0.5110	0.7020	0.5660	0.5790	0.5790
22	total scene	2.5760	0.6640	0.5460	0.5500	0.6720	0.6640	0.6640
